# freq	dfreq	Vin	dVin	Vout	dVout
18.0904	.1	14.88	.08	1.52	.008
19.0056	.1	14.88	.08	1.472	.008
21.352	1	14.8	.08	1.296	.008
23.446	1	14.8	.08	1.192	.008
26.448	1	14.72	.08	1.056	.008

.99920	.01	15.44	.08	13.8	.2
.78286	.01	15.52	.08	14.24	.08
.56791	.01	15.6	.08	14.88	.08
.40217	.05	15.6	.08	15.04	.08
.30374	.01	15.68	.08	15.20	.08
.15479	.05	15.68	.08	15.28	.08
.06517	.01	15.68	.08	15.44	.08

4.255	1	14.96	.08	6.08	.04
5.954	1	14.88	.08	4.48	.04
8.1893	.1	14.88	.08	3.32	.02	
.00971	.01	9.36	.08	9.36	.08
.01911	.01	9.36	.08	9.36	.08
.03570	.01	9.36	.08	9.36	.08
.08049	.01	9.36	.08	9.36	.08
