#Vin_su[V]	Vin_giu	Vin_rumore	Vout_su[V]	Vout_giu	Vout_rumore
80e-3	-154e-3	8e-3	1.10	-1.16	0.06
92e-3	-154e-3	8e-3	1.16	-1.20	0.08
120e-3	-198e-3	8e-3	1.52	-1.58	0.08
192e-3	-288e-3	12e-3	2.32	-2.36	0.16
252e-3	-340e-3	12e-3	2.84	-2.88	0.16
320e-3	-416e-3	32e-3	3.48	-3.6	0.20
440e-3	-544e-3	32e-3	4.64	-4.72	0.32
544e-3	-664e-3	32e-3	5.68	-5.84	0.24
608e-3	-728e-3	32e-3	6.32	-6.40	0.24
680e-3	-880e-3	60e-3	7.28	-7.28	0.24
760e-3	-960e-3	40e-3	7.84	-7.68	0.24
860e-3	-1100e-3	60e-3	8.80	-8.40	0.40
960e-3	-1180e-3	60e-3	9.0	-9.0	0.4
1160e-3	-1420e-3	80e-3	8.20	-9.80	0.6
