#V_in	V_in+	V_s	V_s+	V_d[mV]	V_d+[mV]
-118	120	-56	56.8	-140	137
-160	164	-76	77.6	-190	188
-212	220	-100	102	-252	252
-264	272	-126	128	-320	316
-332	336	-156	158	-400	392
-456	472	-216	224	-552	544
-704	712	-328	340	-860	840
-3240	3320	-1400	1520	-3840	3520
-2360	2440	-1080	1160	-2880	2720
-1740	1800	-800	840	-2200	2040
-1160	1200	-536	560	-1420	1380
-800	860	-376	392	-1000	980
-1580	1640	-720	768	-1940	1860
-2040	2120	-940	1020	-2560	2400
-3040	3120	-1320	1440	-3680	3400
-2760	2840	-1220	1320	-3360	3120
-3920	4080	-1520	1760	-4480	3840
-3240	3320	-1400	1520	-3840	3520
