# f (hz) 	Vout+	Vout-	deltaT (us)
172.01e3	8.40	-8.40	-2.16
21.321e3	10.8	-10.8	0
11.872e3	10.6	-10.6	3
7.2703e3	10.2	-10.0	8.4
4.761e3		9.20	-9.0	21
2742.6		7	-6.8	51
1691.8		5.04	-4.88	104
1009.2		3.20	-3.16	204
617.57		2.0	-1.98	360
374.94		1.24	-1.20	630
228.4		.76	-.74	1040
139.83		.456	-.448	1720
92.017		.304	-.296	2680
50.03		.164	-.160	4.9e3
32.085		.106	-.102	7.70e3
21.787		72.8e-3	-69.6e-3	11.2e3
12.969		43.2e-3	-41.6e-3	18.8e3
6.993		24e-3	-22e-3	34.8e3
29172		11	-10.6	-.2
39339		10.8	-10.6	-.520
26857		11	-10.8	-.080
14908		10.8	-10.6	+1.6
