Record Length,2500,Points,-540.000030E-9,472.000033E-3,,Record Length,2500,Points,-540.000030E-9,-4.64000,
Sample Interval,2.0000E-9,s,-538.000052E-9,464.000016E-3,,Sample Interval,2.0000E-9,s,-538.000052E-9,-4.64000,
Trigger Point,270.00002,Samples,-536.000016E-9,472.000033E-3,,Trigger Point,270.00002,Samples,-536.000016E-9,-4.56000,
,,,-534.000037E-9,480.000019E-3,,,,,-534.000037E-9,-4.56000,
,,,-532.000058E-9,480.000019E-3,,,,,-532.000058E-9,-4.56000,
,,,-530.000023E-9,472.000033E-3,,,,,-530.000023E-9,-4.56000,
Source,CH1,,-528.000044E-9,480.000019E-3,,Source,CH2,,-528.000044E-9,-4.64000,
Vertical Units,Volts,,-526.000008E-9,480.000019E-3,,Vertical Units,Volts,,-526.000008E-9,-4.64000,
Vertical Scale,200.00001E-3,,-524.000029E-9,480.000019E-3,,Vertical Scale,2.0000,,-524.000029E-9,-4.64000,
Vertical Offset,0,,-522.000050E-9,480.000019E-3,,Vertical Offset,0,,-522.000050E-9,-4.64000,
Horizontal Units,s,,-520.000015E-9,480.000019E-3,,Horizontal Units,s,,-520.000015E-9,-4.64000,
Horizontal Scale,499.999986E-9,,-518.000036E-9,472.000033E-3,,Horizontal Scale,499.999986E-9,,-518.000036E-9,-4.64000,
Pt Fmt,Y,,-516.000057E-9,480.000019E-3,,Pt Fmt,Y,,-516.000057E-9,-4.64000,
Yzero,0.0,,-514.000021E-9,480.000019E-3,,Yzero,0.0,,-514.000021E-9,-4.64000,
Probe Atten,1.000,,-512.000042E-9,480.000019E-3,,Probe Atten,1.000,,-512.000042E-9,-4.72000,
,,,-510.000007E-9,472.000033E-3,,,,,-510.000007E-9,-4.56000,
Note,TDS 1012B - 17:07:12   14/11/2016,,-508.000028E-9,480.000019E-3,,Note,TDS 1012B - 17:07:12   14/11/2016,,-508.000028E-9,-4.64000,
,,,-506.000049E-9,472.000033E-3,,,,,-506.000049E-9,-4.64000,
,,,-504.000013E-9,480.000019E-3,,,,,-504.000013E-9,-4.64000,
,,,-502.000034E-9,480.000019E-3,,,,,-502.000034E-9,-4.48000,
,,,-500.000056E-9,480.000019E-3,,,,,-500.000056E-9,-4.64000,
,,,-498.000020E-9,456.000030E-3,,,,,-498.000020E-9,-4.56000,
,,,-496.000041E-9,480.000019E-3,,,,,-496.000041E-9,-4.56000,
,,,-494.000005E-9,480.000019E-3,,,,,-494.000005E-9,-4.56000,
,,,-492.000026E-9,480.000019E-3,,,,,-492.000026E-9,-4.64000,
,,,-490.000048E-9,472.000033E-3,,,,,-490.000048E-9,-4.64000,
,,,-488.000012E-9,480.000019E-3,,,,,-488.000012E-9,-4.64000,
,,,-486.000033E-9,480.000019E-3,,,,,-486.000033E-9,-4.56000,
,,,-484.000054E-9,488.000035E-3,,,,,-484.000054E-9,-4.48000,
,,,-482.000019E-9,472.000033E-3,,,,,-482.000019E-9,-4.56000,
,,,-480.000040E-9,480.000019E-3,,,,,-480.000040E-9,-4.56000,
,,,-478.000004E-9,480.000019E-3,,,,,-478.000004E-9,-4.48000,
,,,-476.000025E-9,480.000019E-3,,,,,-476.000025E-9,-4.56000,
,,,-474.000046E-9,480.000019E-3,,,,,-474.000046E-9,-4.56000,
,,,-472.000039E-9,480.000019E-3,,,,,-472.000039E-9,-4.56000,
,,,-470.000032E-9,472.000033E-3,,,,,-470.000032E-9,-4.64000,
,,,-468.000025E-9,480.000019E-3,,,,,-468.000025E-9,-4.56000,
,,,-466.000046E-9,480.000019E-3,,,,,-466.000046E-9,-4.64000,
,,,-464.000038E-9,472.000033E-3,,,,,-464.000038E-9,-4.56000,
,,,-462.000031E-9,488.000035E-3,,,,,-462.000031E-9,-4.56000,
,,,-460.000024E-9,488.000035E-3,,,,,-460.000024E-9,-4.64000,
,,,-458.000045E-9,480.000019E-3,,,,,-458.000045E-9,-4.64000,
,,,-456.000038E-9,480.000019E-3,,,,,-456.000038E-9,-4.56000,
,,,-454.000030E-9,472.000033E-3,,,,,-454.000030E-9,-4.56000,
,,,-452.000023E-9,480.000019E-3,,,,,-452.000023E-9,-4.56000,
,,,-450.000044E-9,472.000033E-3,,,,,-450.000044E-9,-4.64000,
,,,-448.000037E-9,472.000033E-3,,,,,-448.000037E-9,-4.56000,
,,,-446.000030E-9,480.000019E-3,,,,,-446.000030E-9,-4.64000,
,,,-444.000023E-9,480.000019E-3,,,,,-444.000023E-9,-4.56000,
,,,-442.000044E-9,480.000019E-3,,,,,-442.000044E-9,-4.56000,
,,,-440.000036E-9,472.000033E-3,,,,,-440.000036E-9,-4.56000,
,,,-438.000029E-9,480.000019E-3,,,,,-438.000029E-9,-4.48000,
,,,-436.000022E-9,472.000033E-3,,,,,-436.000022E-9,-4.56000,
,,,-434.000043E-9,488.000035E-3,,,,,-434.000043E-9,-4.48000,
,,,-432.000036E-9,464.000016E-3,,,,,-432.000036E-9,-4.64000,
,,,-430.000028E-9,488.000035E-3,,,,,-430.000028E-9,-4.56000,
,,,-428.000021E-9,472.000033E-3,,,,,-428.000021E-9,-4.64000,
,,,-426.000042E-9,480.000019E-3,,,,,-426.000042E-9,-4.56000,
,,,-424.000035E-9,472.000033E-3,,,,,-424.000035E-9,-4.56000,
,,,-422.000028E-9,472.000033E-3,,,,,-422.000028E-9,-4.56000,
,,,-420.000021E-9,480.000019E-3,,,,,-420.000021E-9,-4.48000,
,,,-418.000042E-9,480.000019E-3,,,,,-418.000042E-9,-4.56000,
,,,-416.000034E-9,464.000016E-3,,,,,-416.000034E-9,-4.56000,
,,,-414.000027E-9,480.000019E-3,,,,,-414.000027E-9,-4.64000,
,,,-412.000020E-9,480.000019E-3,,,,,-412.000020E-9,-4.56000,
,,,-410.000041E-9,480.000019E-3,,,,,-410.000041E-9,-4.56000,
,,,-408.000034E-9,472.000033E-3,,,,,-408.000034E-9,-4.64000,
,,,-406.000026E-9,480.000019E-3,,,,,-406.000026E-9,-4.56000,
,,,-404.000048E-9,480.000019E-3,,,,,-404.000048E-9,-4.72000,
,,,-402.00004E-9,480.000019E-3,,,,,-402.00004E-9,-4.56000,
,,,-400.00003E-9,480.000019E-3,,,,,-400.00003E-9,-4.56000,
,,,-398.00003E-9,480.000019E-3,,,,,-398.00003E-9,-4.48000,
,,,-396.00005E-9,488.000035E-3,,,,,-396.00005E-9,-4.64000,
,,,-394.00004E-9,480.000019E-3,,,,,-394.00004E-9,-4.56000,
,,,-392.00003E-9,480.000019E-3,,,,,-392.00003E-9,-4.64000,
,,,-390.00003E-9,464.000016E-3,,,,,-390.00003E-9,-4.72000,
,,,-388.00005E-9,480.000019E-3,,,,,-388.00005E-9,-4.64000,
,,,-386.00004E-9,472.000033E-3,,,,,-386.00004E-9,-4.56000,
,,,-384.00003E-9,472.000033E-3,,,,,-384.00003E-9,-4.56000,
,,,-382.00002E-9,480.000019E-3,,,,,-382.00002E-9,-4.48000,
,,,-380.00005E-9,480.000019E-3,,,,,-380.00005E-9,-4.48000,
,,,-378.00004E-9,488.000035E-3,,,,,-378.00004E-9,-4.64000,
,,,-376.00003E-9,480.000019E-3,,,,,-376.00003E-9,-4.64000,
,,,-374.00002E-9,472.000033E-3,,,,,-374.00002E-9,-4.56000,
,,,-372.00004E-9,472.000033E-3,,,,,-372.00004E-9,-4.56000,
,,,-370.00004E-9,480.000019E-3,,,,,-370.00004E-9,-4.56000,
,,,-368.00003E-9,480.000019E-3,,,,,-368.00003E-9,-4.48000,
,,,-366.00002E-9,464.000016E-3,,,,,-366.00002E-9,-4.56000,
,,,-364.00004E-9,480.000019E-3,,,,,-364.00004E-9,-4.64000,
,,,-362.00004E-9,480.000019E-3,,,,,-362.00004E-9,-4.56000,
,,,-360.00003E-9,480.000019E-3,,,,,-360.00003E-9,-4.64000,
,,,-358.00002E-9,464.000016E-3,,,,,-358.00002E-9,-4.64000,
,,,-356.00004E-9,472.000033E-3,,,,,-356.00004E-9,-4.56000,
,,,-354.00004E-9,480.000019E-3,,,,,-354.00004E-9,-4.48000,
,,,-352.00003E-9,472.000033E-3,,,,,-352.00003E-9,-4.56000,
,,,-350.00002E-9,472.000033E-3,,,,,-350.00002E-9,-4.64000,
,,,-348.00004E-9,480.000019E-3,,,,,-348.00004E-9,-4.64000,
,,,-346.00004E-9,472.000033E-3,,,,,-346.00004E-9,-4.56000,
,,,-344.00003E-9,472.000033E-3,,,,,-344.00003E-9,-4.56000,
,,,-342.00005E-9,472.000033E-3,,,,,-342.00005E-9,-4.64000,
,,,-340.00004E-9,472.000033E-3,,,,,-340.00004E-9,-4.56000,
,,,-338.00004E-9,480.000019E-3,,,,,-338.00004E-9,-4.56000,
,,,-336.00003E-9,480.000019E-3,,,,,-336.00003E-9,-4.56000,
,,,-334.00005E-9,472.000033E-3,,,,,-334.00005E-9,-4.56000,
,,,-332.00004E-9,472.000033E-3,,,,,-332.00004E-9,-4.56000,
,,,-330.00003E-9,472.000033E-3,,,,,-330.00003E-9,-4.56000,
,,,-328.00003E-9,480.000019E-3,,,,,-328.00003E-9,-4.56000,
,,,-326.00005E-9,480.000019E-3,,,,,-326.00005E-9,-4.72000,
,,,-324.00004E-9,480.000019E-3,,,,,-324.00004E-9,-4.64000,
,,,-322.00003E-9,480.000019E-3,,,,,-322.00003E-9,-4.56000,
,,,-320.00003E-9,480.000019E-3,,,,,-320.00003E-9,-4.56000,
,,,-318.00005E-9,472.000033E-3,,,,,-318.00005E-9,-4.56000,
,,,-316.00004E-9,480.000019E-3,,,,,-316.00004E-9,-4.64000,
